LON(deg)  LAT(deg)      Z     DV    VEL
 47.0000   13.0000  -5.00   3.00   5.97
 38.0000   12.5000  -5.00  -3.00   5.63
 38.5000   12.5000  -5.00   3.00   5.97
 39.0000   12.5000  -5.00  -3.00   5.63
 39.5000   12.5000  -5.00   3.00   5.97
 40.0000   12.5000  -5.00  -3.00   5.63
 40.5000   12.5000  -5.00   3.00   5.97
 41.0000   12.5000  -5.00  -3.00   5.63
 41.5000   12.5000  -5.00   3.00   5.97
 42.0000   12.5000  -5.00  -3.00   5.63
 42.5000   12.5000  -5.00   3.00   5.97
 43.0000   12.5000  -5.00  -3.00   5.63
 43.5000   12.5000  -5.00   3.00   5.97
 44.0000   12.5000  -5.00  -3.00   5.63
 44.5000   12.5000  -5.00   3.00   5.97
 45.0000   12.5000  -5.00  -3.00   5.63
 45.5000   12.5000  -5.00   3.00   5.97
 46.0000   12.5000  -5.00  -3.00   5.63
 46.5000   12.5000  -5.00   3.00   5.97
 47.0000   12.5000  -5.00  -3.00   5.63
 38.0000   12.0000  -5.00   3.00   5.97
 38.5000   12.0000  -5.00  -3.00   5.63
 39.0000   12.0000  -5.00   3.00   5.97
 39.5000   12.0000  -5.00  -3.00   5.63
 40.0000   12.0000  -5.00   3.00   5.97
 40.5000   12.0000  -5.00  -3.00   5.63
 41.0000   12.0000  -5.00   3.00   5.97
 41.5000   12.0000  -5.00  -3.00   5.63
 42.0000   12.0000  -5.00   3.00   5.97
 42.5000   12.0000  -5.00  -3.00   5.63
 43.0000   12.0000  -5.00   3.00   5.97
 43.5000   12.0000  -5.00  -3.00   5.63
 44.0000   12.0000  -5.00   3.00   5.97
 44.5000   12.0000  -5.00  -3.00   5.63
 45.0000   12.0000  -5.00   3.00   5.97
 45.5000   12.0000  -5.00  -3.00   5.63
 46.0000   12.0000  -5.00   3.00   5.97
 46.5000   12.0000  -5.00  -3.00   5.63
 47.0000   12.0000  -5.00   3.00   5.97
 38.0000   11.5000  -5.00  -3.00   5.63
 38.5000   11.5000  -5.00   3.00   5.97
 39.0000   11.5000  -5.00  -3.00   5.63
 39.5000   11.5000  -5.00   3.00   5.97
 40.0000   11.5000  -5.00  -3.00   5.63
 40.5000   11.5000  -5.00   3.00   5.97
 41.0000   11.5000  -5.00  -3.00   5.63
 41.5000   11.5000  -5.00   3.00   5.97
 42.0000   11.5000  -5.00  -3.00   5.63
 42.5000   11.5000  -5.00   3.00   5.97
 43.0000   11.5000  -5.00  -3.00   5.63
 43.5000   11.5000  -5.00   3.00   5.97
 44.0000   11.5000  -5.00  -3.00   5.63
 44.5000   11.5000  -5.00   3.00   5.97
 45.0000   11.5000  -5.00  -3.00   5.63
 45.5000   11.5000  -5.00   3.00   5.97
 46.0000   11.5000  -5.00  -3.00   5.63
 46.5000   11.5000  -5.00   3.00   5.97
 47.0000   11.5000  -5.00  -3.00   5.63
 38.0000   11.0000  -5.00   3.00   5.97
 38.5000   11.0000  -5.00  -3.00   5.63
 39.0000   11.0000  -5.00   3.00   5.97
 39.5000   11.0000  -5.00  -3.00   5.63
 40.0000   11.0000  -5.00   3.00   5.97
 40.5000   11.0000  -5.00  -3.00   5.63
 41.0000   11.0000  -5.00   3.00   5.97
 41.5000   11.0000  -5.00  -3.00   5.63
 42.0000   11.0000  -5.00   3.00   5.97
 42.5000   11.0000  -5.00  -3.00   5.63
 43.0000   11.0000  -5.00   3.00   5.97
 43.5000   11.0000  -5.00  -3.00   5.63
 44.0000   11.0000  -5.00   3.00   5.97
 44.5000   11.0000  -5.00  -3.00   5.63
 45.0000   11.0000  -5.00   3.00   5.97
 45.5000   11.0000  -5.00  -3.00   5.63
 46.0000   11.0000  -5.00   3.00   5.97
 46.5000   11.0000  -5.00  -3.00   5.63
 47.0000   11.0000  -5.00   3.00   5.97
 38.0000   10.5000  -5.00  -3.00   5.63
 38.5000   10.5000  -5.00   3.00   5.97
 39.0000   10.5000  -5.00  -3.00   5.63
 39.5000   10.5000  -5.00   3.00   5.97
 40.0000   10.5000  -5.00  -3.00   5.63
 40.5000   10.5000  -5.00   3.00   5.97
 41.0000   10.5000  -5.00  -3.00   5.63
 41.5000   10.5000  -5.00   3.00   5.97
 42.0000   10.5000  -5.00  -3.00   5.63
 42.5000   10.5000  -5.00   3.00   5.97
 43.0000   10.5000  -5.00  -3.00   5.63
 43.5000   10.5000  -5.00   3.00   5.97
 44.0000   10.5000  -5.00  -3.00   5.63
 44.5000   10.5000  -5.00   3.00   5.97
 45.0000   10.5000  -5.00  -3.00   5.63
 45.5000   10.5000  -5.00   3.00   5.97
 46.0000   10.5000  -5.00  -3.00   5.63
 46.5000   10.5000  -5.00   3.00   5.97
 47.0000   10.5000  -5.00  -3.00   5.63
 38.0000   10.0000  -5.00   3.00   5.97
 38.5000   10.0000  -5.00  -3.00   5.63
 39.0000   10.0000  -5.00   3.00   5.97
 39.5000   10.0000  -5.00  -3.00   5.63
 40.0000   10.0000  -5.00   3.00   5.97
 40.5000   10.0000  -5.00  -3.00   5.63
 41.0000   10.0000  -5.00   3.00   5.97
 41.5000   10.0000  -5.00  -3.00   5.63
 42.0000   10.0000  -5.00   3.00   5.97
 42.5000   10.0000  -5.00  -3.00   5.63
 43.0000   10.0000  -5.00   3.00   5.97
 43.5000   10.0000  -5.00  -3.00   5.63
 44.0000   10.0000  -5.00   3.00   5.97
 44.5000   10.0000  -5.00  -3.00   5.63
 45.0000   10.0000  -5.00   3.00   5.97
 45.5000   10.0000  -5.00  -3.00   5.63
 46.0000   10.0000  -5.00   3.00   5.97
 46.5000   10.0000  -5.00  -3.00   5.63
 47.0000   10.0000  -5.00   3.00   5.97
 38.0000    9.5000  -5.00  -3.00   5.63
 38.5000    9.5000  -5.00   3.00   5.97
 39.0000    9.5000  -5.00  -3.00   5.63
 39.5000    9.5000  -5.00   3.00   5.97
 40.0000    9.5000  -5.00  -3.00   5.63
 40.5000    9.5000  -5.00   3.00   5.97
 41.0000    9.5000  -5.00  -3.00   5.63
 41.5000    9.5000  -5.00   3.00   5.97
 42.0000    9.5000  -5.00  -3.00   5.63
 42.5000    9.5000  -5.00   3.00   5.97
 43.0000    9.5000  -5.00  -3.00   5.63
 43.5000    9.5000  -5.00   3.00   5.97
 44.0000    9.5000  -5.00  -3.00   5.63
 44.5000    9.5000  -5.00   3.00   5.97
 45.0000    9.5000  -5.00  -3.00   5.63
 45.5000    9.5000  -5.00   3.00   5.97
 46.0000    9.5000  -5.00  -3.00   5.63
 46.5000    9.5000  -5.00   3.00   5.97
 47.0000    9.5000  -5.00  -3.00   5.63
 38.0000    9.0000  -5.00   3.00   5.97
 38.5000    9.0000  -5.00  -3.00   5.63
 39.0000    9.0000  -5.00   3.00   5.97
 39.5000    9.0000  -5.00  -3.00   5.63
 40.0000    9.0000  -5.00   3.00   5.97
 40.5000    9.0000  -5.00  -3.00   5.63
 41.0000    9.0000  -5.00   3.00   5.97
 41.5000    9.0000  -5.00  -3.00   5.63
 42.0000    9.0000  -5.00   3.00   5.97
 42.5000    9.0000  -5.00  -3.00   5.63
 43.0000    9.0000  -5.00   3.00   5.97
 43.5000    9.0000  -5.00  -3.00   5.63
 44.0000    9.0000  -5.00   3.00   5.97
 44.5000    9.0000  -5.00  -3.00   5.63
 45.0000    9.0000  -5.00   3.00   5.97
 45.5000    9.0000  -5.00  -3.00   5.63
 46.0000    9.0000  -5.00   3.00   5.97
 46.5000    9.0000  -5.00  -3.00   5.63
 47.0000    9.0000  -5.00   3.00   5.97
 38.0000    8.5000  -5.00  -3.00   5.63
 38.5000    8.5000  -5.00   3.00   5.97
 39.0000    8.5000  -5.00  -3.00   5.63
 39.5000    8.5000  -5.00   3.00   5.97
 40.0000    8.5000  -5.00  -3.00   5.63
 40.5000    8.5000  -5.00   3.00   5.97
 41.0000    8.5000  -5.00  -3.00   5.63
 41.5000    8.5000  -5.00   3.00   5.97
 42.0000    8.5000  -5.00  -3.00   5.63
 42.5000    8.5000  -5.00   3.00   5.97
 43.0000    8.5000  -5.00  -3.00   5.63
 43.5000    8.5000  -5.00   3.00   5.97
 44.0000    8.5000  -5.00  -3.00   5.63
 44.5000    8.5000  -5.00   3.00   5.97
 45.0000    8.5000  -5.00  -3.00   5.63
 45.5000    8.5000  -5.00   3.00   5.97
 46.0000    8.5000  -5.00  -3.00   5.63
 46.5000    8.5000  -5.00   3.00   5.97
 47.0000    8.5000  -5.00  -3.00   5.63
 38.0000    8.0000  -5.00   3.00   5.97
 38.5000    8.0000  -5.00  -3.00   5.63
 39.0000    8.0000  -5.00   3.00   5.97
 39.5000    8.0000  -5.00  -3.00   5.63
 40.0000    8.0000  -5.00   3.00   5.97
 40.5000    8.0000  -5.00  -3.00   5.63
 41.0000    8.0000  -5.00   3.00   5.97
 41.5000    8.0000  -5.00  -3.00   5.63
 42.0000    8.0000  -5.00   3.00   5.97
 42.5000    8.0000  -5.00  -3.00   5.63
 43.0000    8.0000  -5.00   3.00   5.97
 43.5000    8.0000  -5.00  -3.00   5.63
 44.0000    8.0000  -5.00   3.00   5.97
 44.5000    8.0000  -5.00  -3.00   5.63
 45.0000    8.0000  -5.00   3.00   5.97
 45.5000    8.0000  -5.00  -3.00   5.63
 46.0000    8.0000  -5.00   3.00   5.97
 46.5000    8.0000  -5.00  -3.00   5.63
 47.0000    8.0000  -5.00   3.00   5.97
 38.0000    7.5000  -5.00  -3.00   5.63
 38.5000    7.5000  -5.00   3.00   5.97
 39.0000    7.5000  -5.00  -3.00   5.63
 39.5000    7.5000  -5.00   3.00   5.97
 40.0000    7.5000  -5.00  -3.00   5.63
 40.5000    7.5000  -5.00   3.00   5.97
 41.0000    7.5000  -5.00  -3.00   5.63
 41.5000    7.5000  -5.00   3.00   5.97
 42.0000    7.5000  -5.00  -3.00   5.63
 42.5000    7.5000  -5.00   3.00   5.97
 43.0000    7.5000  -5.00  -3.00   5.63
 43.5000    7.5000  -5.00   3.00   5.97
 44.0000    7.5000  -5.00  -3.00   5.63
 44.5000    7.5000  -5.00   3.00   5.97
 45.0000    7.5000  -5.00  -3.00   5.63
 45.5000    7.5000  -5.00   3.00   5.97
 46.0000    7.5000  -5.00  -3.00   5.63
 46.5000    7.5000  -5.00   3.00   5.97
 47.0000    7.5000  -5.00  -3.00   5.63
 38.0000    7.0000  -5.00   3.00   5.97
 38.5000    7.0000  -5.00  -3.00   5.63
 39.0000    7.0000  -5.00   3.00   5.97
 39.5000    7.0000  -5.00  -3.00   5.63
 40.0000    7.0000  -5.00   3.00   5.97
 40.5000    7.0000  -5.00  -3.00   5.63
 41.0000    7.0000  -5.00   3.00   5.97
 41.5000    7.0000  -5.00  -3.00   5.63
 42.0000    7.0000  -5.00   3.00   5.97
 42.5000    7.0000  -5.00  -3.00   5.63
 43.0000    7.0000  -5.00   3.00   5.97
 43.5000    7.0000  -5.00  -3.00   5.63
 44.0000    7.0000  -5.00   3.00   5.97
 44.5000    7.0000  -5.00  -3.00   5.63
 45.0000    7.0000  -5.00   3.00   5.97
 45.5000    7.0000  -5.00  -3.00   5.63
 46.0000    7.0000  -5.00   3.00   5.97
 46.5000    7.0000  -5.00  -3.00   5.63
 47.0000    7.0000  -5.00   3.00   5.97
 38.0000   17.0000 -10.00  -3.00   5.63
 38.5000   17.0000 -10.00   3.00   5.97
 39.0000   17.0000 -10.00  -3.00   5.63
 39.5000   17.0000 -10.00   3.00   5.97
 40.0000   17.0000 -10.00  -3.00   5.63
 40.5000   17.0000 -10.00   3.00   5.97
 41.0000   17.0000 -10.00  -3.00   5.63
 41.5000   17.0000 -10.00   3.00   5.97
 42.0000   17.0000 -10.00  -3.00   5.63
 42.5000   17.0000 -10.00   3.00   5.97
 43.0000   17.0000 -10.00  -3.00   5.63
 43.5000   17.0000 -10.00   3.00   5.97
 44.0000   17.0000 -10.00  -3.00   5.63
 44.5000   17.0000 -10.00   3.00   5.97
 45.0000   17.0000 -10.00  -3.00   5.63
 45.5000   17.0000 -10.00   3.00   5.97
 46.0000   17.0000 -10.00  -3.00   5.63
 46.5000   17.0000 -10.00   3.00   5.97
 47.0000   17.0000 -10.00  -3.00   5.63
 38.0000   16.5000 -10.00   3.00   5.97
 38.5000   16.5000 -10.00  -3.00   5.63
 39.0000   16.5000 -10.00   3.00   5.97
 39.5000   16.5000 -10.00  -3.00   5.63
 40.0000   16.5000 -10.00   3.00   5.97
 40.5000   16.5000 -10.00  -3.00   5.63
 41.0000   16.5000 -10.00   3.00   5.97
 41.5000   16.5000 -10.00  -3.00   5.63
 42.0000   16.5000 -10.00   3.00   5.97
 42.5000   16.5000 -10.00  -3.00   5.63
 43.0000   16.5000 -10.00   3.00   5.97
 43.5000   16.5000 -10.00  -3.00   5.63
 44.0000   16.5000 -10.00   3.00   5.97
 44.5000   16.5000 -10.00  -3.00   5.63
 45.0000   16.5000 -10.00   3.00   5.97
 45.5000   16.5000 -10.00  -3.00   5.63
 46.0000   16.5000 -10.00   3.00   5.97
 46.5000   16.5000 -10.00  -3.00   5.63
 47.0000   16.5000 -10.00   3.00   5.97
 38.0000   16.0000 -10.00  -3.00   5.63
 38.5000   16.0000 -10.00   3.00   5.97
 39.0000   16.0000 -10.00  -3.00   5.63
 39.5000   16.0000 -10.00   3.00   5.97
 40.0000   16.0000 -10.00  -3.00   5.63
 40.5000   16.0000 -10.00   3.00   5.97
 41.0000   16.0000 -10.00  -3.00   5.63
 41.5000   16.0000 -10.00   3.00   5.97
 42.0000   16.0000 -10.00  -3.00   5.63
 42.5000   16.0000 -10.00   3.00   5.97
 43.0000   16.0000 -10.00  -3.00   5.63
 43.5000   16.0000 -10.00   3.00   5.97
 44.0000   16.0000 -10.00  -3.00   5.63
 44.5000   16.0000 -10.00   3.00   5.97
 45.0000   16.0000 -10.00  -3.00   5.63
 45.5000   16.0000 -10.00   3.00   5.97
 46.0000   16.0000 -10.00  -3.00   5.63
 46.5000   16.0000 -10.00   3.00   5.97
 47.0000   16.0000 -10.00  -3.00   5.63
 38.0000   15.5000 -10.00   3.00   5.97
 38.5000   15.5000 -10.00  -3.00   5.63
 39.0000   15.5000 -10.00   3.00   5.97
 39.5000   15.5000 -10.00  -3.00   5.63
 40.0000   15.5000 -10.00   3.00   5.97
 40.5000   15.5000 -10.00  -3.00   5.63
 41.0000   15.5000 -10.00   3.00   5.97
 41.5000   15.5000 -10.00  -3.00   5.63
 42.0000   15.5000 -10.00   3.00   5.97
 42.5000   15.5000 -10.00  -3.00   5.63
 43.0000   15.5000 -10.00   3.00   5.97
 43.5000   15.5000 -10.00  -3.00   5.63
 44.0000   15.5000 -10.00   3.00   5.97
 44.5000   15.5000 -10.00  -3.00   5.63
 45.0000   15.5000 -10.00   3.00   5.97
 45.5000   15.5000 -10.00  -3.00   5.63
 46.0000   15.5000 -10.00   3.00   5.97
 46.5000   15.5000 -10.00  -3.00   5.63
 47.0000   15.5000 -10.00   3.00   5.97
 38.0000   15.0000 -10.00  -3.00   5.63
 38.5000   15.0000 -10.00   3.00   5.97
 39.0000   15.0000 -10.00  -3.00   5.63
 39.5000   15.0000 -10.00   3.00   5.97
 40.0000   15.0000 -10.00  -3.00   5.63
 40.5000   15.0000 -10.00   3.00   5.97
 41.0000   15.0000 -10.00  -3.00   5.63
 41.5000   15.0000 -10.00   3.00   5.97
 42.0000   15.0000 -10.00  -3.00   5.63
 42.5000   15.0000 -10.00   3.00   5.97
 43.0000   15.0000 -10.00  -3.00   5.63
 43.5000   15.0000 -10.00   3.00   5.97
 44.0000   15.0000 -10.00  -3.00   5.63
 44.5000   15.0000 -10.00   3.00   5.97
 45.0000   15.0000 -10.00  -3.00   5.63
 45.5000   15.0000 -10.00   3.00   5.97
 46.0000   15.0000 -10.00  -3.00   5.63
 46.5000   15.0000 -10.00   3.00   5.97
 47.0000   15.0000 -10.00  -3.00   5.63
 38.0000   14.5000 -10.00   3.00   5.97
 38.5000   14.5000 -10.00  -3.00   5.63
 39.0000   14.5000 -10.00   3.00   5.97
 39.5000   14.5000 -10.00  -3.00   5.63
 40.0000   14.5000 -10.00   3.00   5.97
 40.5000   14.5000 -10.00  -3.00   5.63
 41.0000   14.5000 -10.00   3.00   5.97
 41.5000   14.5000 -10.00  -3.00   5.63
 42.0000   14.5000 -10.00   3.00   5.97
 42.5000   14.5000 -10.00  -3.00   5.63
 43.0000   14.5000 -10.00   3.00   5.97
 43.5000   14.5000 -10.00  -3.00   5.63
 44.0000   14.5000 -10.00   3.00   5.97
 44.5000   14.5000 -10.00  -3.00   5.63
 45.0000   14.5000 -10.00   3.00   5.97
 45.5000   14.5000 -10.00  -3.00   5.63
 46.0000   14.5000 -10.00   3.00   5.97
 46.5000   14.5000 -10.00  -3.00   5.63
 47.0000   14.5000 -10.00   3.00   5.97
 38.0000   14.0000 -10.00  -3.00   5.63
 38.5000   14.0000 -10.00   3.00   5.97
 39.0000   14.0000 -10.00  -3.00   5.63
 39.5000   14.0000 -10.00   3.00   5.97
 40.0000   14.0000 -10.00  -3.00   5.63
 40.5000   14.0000 -10.00   3.00   5.97
 41.0000   14.0000 -10.00  -3.00   5.63
 41.5000   14.0000 -10.00   3.00   5.97
 42.0000   14.0000 -10.00  -3.00   5.63
 42.5000   14.0000 -10.00   3.00   5.97
 43.0000   14.0000 -10.00  -3.00   5.63
 43.5000   14.0000 -10.00   3.00   5.97
 44.0000   14.0000 -10.00  -3.00   5.63
 44.5000   14.0000 -10.00   3.00   5.97
 45.0000   14.0000 -10.00  -3.00   5.63
 45.5000   14.0000 -10.00   3.00   5.97
 46.0000   14.0000 -10.00  -3.00   5.63
 46.5000   14.0000 -10.00   3.00   5.97
 47.0000   14.0000 -10.00  -3.00   5.63
 38.0000   13.5000 -10.00   3.00   5.97
 38.5000   13.5000 -10.00  -3.00   5.63
 39.0000   13.5000 -10.00   3.00   5.97
 39.5000   13.5000 -10.00  -3.00   5.63
 40.0000   13.5000 -10.00   3.00   5.97
 40.5000   13.5000 -10.00  -3.00   5.63
 41.0000   13.5000 -10.00   3.00   5.97
 41.5000   13.5000 -10.00  -3.00   5.63
 42.0000   13.5000 -10.00   3.00   5.97
 42.5000   13.5000 -10.00  -3.00   5.63
 43.0000   13.5000 -10.00   3.00   5.97
 43.5000   13.5000 -10.00  -3.00   5.63
 44.0000   13.5000 -10.00   3.00   5.97
 44.5000   13.5000 -10.00  -3.00   5.63
 45.0000   13.5000 -10.00   3.00   5.97
 45.5000   13.5000 -10.00  -3.00   5.63
 46.0000   13.5000 -10.00   3.00   5.97
 46.5000   13.5000 -10.00  -3.00   5.63
 47.0000   13.5000 -10.00   3.00   5.97
 38.0000   13.0000 -10.00  -3.00   5.63
 38.5000   13.0000 -10.00   3.00   5.97
 39.0000   13.0000 -10.00  -3.00   5.63
 39.5000   13.0000 -10.00   3.00   5.97
 40.0000   13.0000 -10.00  -3.00   5.63
 40.5000   13.0000 -10.00   3.00   5.97
 41.0000   13.0000 -10.00  -3.00   5.63
 41.5000   13.0000 -10.00   3.00   5.97
 42.0000   13.0000 -10.00  -3.00   5.63
 42.5000   13.0000 -10.00   3.00   5.97
 43.0000   13.0000 -10.00  -3.00   5.63
 43.5000   13.0000 -10.00   3.00   5.97
 44.0000   13.0000 -10.00  -3.00   5.63
 44.5000   13.0000 -10.00   3.00   5.97
 45.0000   13.0000 -10.00  -3.00   5.63
 45.5000   13.0000 -10.00   3.00   5.97
 46.0000   13.0000 -10.00  -3.00   5.63
 46.5000   13.0000 -10.00   3.00   5.97
 47.0000   13.0000 -10.00  -3.00   5.63
 38.0000   12.5000 -10.00   3.00   5.97
 38.5000   12.5000 -10.00  -3.00   5.63
 39.0000   12.5000 -10.00   3.00   5.97
 39.5000   12.5000 -10.00  -3.00   5.63
 40.0000   12.5000 -10.00   3.00   5.97
 40.5000   12.5000 -10.00  -3.00   5.63
 41.0000   12.5000 -10.00   3.00   5.97
 41.5000   12.5000 -10.00  -3.00   5.63
 42.0000   12.5000 -10.00   3.00   5.97
 42.5000   12.5000 -10.00  -3.00   5.63
 43.0000   12.5000 -10.00   3.00   5.97
 43.5000   12.5000 -10.00  -3.00   5.63
 44.0000   12.5000 -10.00   3.00   5.97
 44.5000   12.5000 -10.00  -3.00   5.63
 45.0000   12.5000 -10.00   3.00   5.97
 45.5000   12.5000 -10.00  -3.00   5.63
 46.0000   12.5000 -10.00   3.00   5.97
 46.5000   12.5000 -10.00  -3.00   5.63
 47.0000   12.5000 -10.00   3.00   5.97
 38.0000   12.0000 -10.00  -3.00   5.63
 38.5000   12.0000 -10.00   3.00   5.97
 39.0000   12.0000 -10.00  -3.00   5.63
 39.5000   12.0000 -10.00   3.00   5.97
 40.0000   12.0000 -10.00  -3.00   5.63
 40.5000   12.0000 -10.00   3.00   5.97
 41.0000   12.0000 -10.00  -3.00   5.63
 41.5000   12.0000 -10.00   3.00   5.97
 42.0000   12.0000 -10.00  -3.00   5.63
 42.5000   12.0000 -10.00   3.00   5.97
 43.0000   12.0000 -10.00  -3.00   5.63
 43.5000   12.0000 -10.00   3.00   5.97
 44.0000   12.0000 -10.00  -3.00   5.63
 44.5000   12.0000 -10.00   3.00   5.97
 45.0000   12.0000 -10.00  -3.00   5.63
 45.5000   12.0000 -10.00   3.00   5.97
 46.0000   12.0000 -10.00  -3.00   5.63
 46.5000   12.0000 -10.00   3.00   5.97
 47.0000   12.0000 -10.00  -3.00   5.63
 38.0000   11.5000 -10.00   3.00   5.97
 38.5000   11.5000 -10.00  -3.00   5.63
 39.0000   11.5000 -10.00   3.00   5.97
 39.5000   11.5000 -10.00  -3.00   5.63
 40.0000   11.5000 -10.00   3.00   5.97
 40.5000   11.5000 -10.00  -3.00   5.63
 41.0000   11.5000 -10.00   3.00   5.97
 41.5000   11.5000 -10.00  -3.00   5.63
 42.0000   11.5000 -10.00   3.00   5.97
 42.5000   11.5000 -10.00  -3.00   5.63
 43.0000   11.5000 -10.00   3.00   5.97
 43.5000   11.5000 -10.00  -3.00   5.63
 44.0000   11.5000 -10.00   3.00   5.97
 44.5000   11.5000 -10.00  -3.00   5.63
 45.0000   11.5000 -10.00   3.00   5.97
 45.5000   11.5000 -10.00  -3.00   5.63
 46.0000   11.5000 -10.00   3.00   5.97
 46.5000   11.5000 -10.00  -3.00   5.63
 47.0000   11.5000 -10.00   3.00   5.97
 38.0000   11.0000 -10.00  -3.00   5.63
 38.5000   11.0000 -10.00   3.00   5.97
 39.0000   11.0000 -10.00  -3.00   5.63
 39.5000   11.0000 -10.00   3.00   5.97
 40.0000   11.0000 -10.00  -3.00   5.63
 40.5000   11.0000 -10.00   3.00   5.97
 41.0000   11.0000 -10.00  -3.00   5.63
 41.5000   11.0000 -10.00   3.00   5.97
 42.0000   11.0000 -10.00  -3.00   5.63
 42.5000   11.0000 -10.00   3.00   5.97
 43.0000   11.0000 -10.00  -3.00   5.63
 43.5000   11.0000 -10.00   3.00   5.97
 44.0000   11.0000 -10.00  -3.00   5.63
 44.5000   11.0000 -10.00   3.00   5.97
 45.0000   11.0000 -10.00  -3.00   5.63
 45.5000   11.0000 -10.00   3.00   5.97
 46.0000   11.0000 -10.00  -3.00   5.63
 46.5000   11.0000 -10.00   3.00   5.97
 47.0000   11.0000 -10.00  -3.00   5.63
 38.0000   10.5000 -10.00   3.00   5.97
 38.5000   10.5000 -10.00  -3.00   5.63
 39.0000   10.5000 -10.00   3.00   5.97
 39.5000   10.5000 -10.00  -3.00   5.63
 40.0000   10.5000 -10.00   3.00   5.97
 40.5000   10.5000 -10.00  -3.00   5.63
 41.0000   10.5000 -10.00   3.00   5.97
 41.5000   10.5000 -10.00  -3.00   5.63
 42.0000   10.5000 -10.00   3.00   5.97
 42.5000   10.5000 -10.00  -3.00   5.63
 43.0000   10.5000 -10.00   3.00   5.97
 43.5000   10.5000 -10.00  -3.00   5.63
 44.0000   10.5000 -10.00   3.00   5.97
 44.5000   10.5000 -10.00  -3.00   5.63
 45.0000   10.5000 -10.00   3.00   5.97
 45.5000   10.5000 -10.00  -3.00   5.63
 46.0000   10.5000 -10.00   3.00   5.97
 46.5000   10.5000 -10.00  -3.00   5.63
 47.0000   10.5000 -10.00   3.00   5.97
 38.0000   10.0000 -10.00  -3.00   5.63
 38.5000   10.0000 -10.00   3.00   5.97
 39.0000   10.0000 -10.00  -3.00   5.63
 39.5000   10.0000 -10.00   3.00   5.97
 40.0000   10.0000 -10.00  -3.00   5.63
 40.5000   10.0000 -10.00   3.00   5.97
 41.0000   10.0000 -10.00  -3.00   5.63
 41.5000   10.0000 -10.00   3.00   5.97
 42.0000   10.0000 -10.00  -3.00   5.63
 42.5000   10.0000 -10.00   3.00   5.97
 43.0000   10.0000 -10.00  -3.00   5.63
 43.5000   10.0000 -10.00   3.00   5.97
 44.0000   10.0000 -10.00  -3.00   5.63
 44.5000   10.0000 -10.00   3.00   5.97
 45.0000   10.0000 -10.00  -3.00   5.63
 45.5000   10.0000 -10.00   3.00   5.97
 46.0000   10.0000 -10.00  -3.00   5.63
 46.5000   10.0000 -10.00   3.00   5.97
 47.0000   10.0000 -10.00  -3.00   5.63
 38.0000    9.5000 -10.00   3.00   5.97
 38.5000    9.5000 -10.00  -3.00   5.63
 39.0000    9.5000 -10.00   3.00   5.97
 39.5000    9.5000 -10.00  -3.00   5.63
 40.0000    9.5000 -10.00   3.00   5.97
 40.5000    9.5000 -10.00  -3.00   5.63
 41.0000    9.5000 -10.00   3.00   5.97
 41.5000    9.5000 -10.00  -3.00   5.63
 42.0000    9.5000 -10.00   3.00   5.97
 42.5000    9.5000 -10.00  -3.00   5.63
 43.0000    9.5000 -10.00   3.00   5.97
 43.5000    9.5000 -10.00  -3.00   5.63
 44.0000    9.5000 -10.00   3.00   5.97
 44.5000    9.5000 -10.00  -3.00   5.63
 45.0000    9.5000 -10.00   3.00   5.97
 45.5000    9.5000 -10.00  -3.00   5.63
 46.0000    9.5000 -10.00   3.00   5.97
 46.5000    9.5000 -10.00  -3.00   5.63
 47.0000    9.5000 -10.00   3.00   5.97
 38.0000    9.0000 -10.00  -3.00   5.63
 38.5000    9.0000 -10.00   3.00   5.97
 39.0000    9.0000 -10.00  -3.00   5.63
 39.5000    9.0000 -10.00   3.00   5.97
 40.0000    9.0000 -10.00  -3.00   5.63
 40.5000    9.0000 -10.00   3.00   5.97
 41.0000    9.0000 -10.00  -3.00   5.63
 41.5000    9.0000 -10.00   3.00   5.97
 42.0000    9.0000 -10.00  -3.00   5.63
 42.5000    9.0000 -10.00   3.00   5.97
 43.0000    9.0000 -10.00  -3.00   5.63
 43.5000    9.0000 -10.00   3.00   5.97
 44.0000    9.0000 -10.00  -3.00   5.63
 44.5000    9.0000 -10.00   3.00   5.97
 45.0000    9.0000 -10.00  -3.00   5.63
 45.5000    9.0000 -10.00   3.00   5.97
 46.0000    9.0000 -10.00  -3.00   5.63
 46.5000    9.0000 -10.00   3.00   5.97
 47.0000    9.0000 -10.00  -3.00   5.63
 38.0000    8.5000 -10.00   3.00   5.97
 38.5000    8.5000 -10.00  -3.00   5.63
 39.0000    8.5000 -10.00   3.00   5.97
 39.5000    8.5000 -10.00  -3.00   5.63
 40.0000    8.5000 -10.00   3.00   5.97
 40.5000    8.5000 -10.00  -3.00   5.63
 41.0000    8.5000 -10.00   3.00   5.97
 41.5000    8.5000 -10.00  -3.00   5.63
 42.0000    8.5000 -10.00   3.00   5.97
 42.5000    8.5000 -10.00  -3.00   5.63
 43.0000    8.5000 -10.00   3.00   5.97
 43.5000    8.5000 -10.00  -3.00   5.63
 44.0000    8.5000 -10.00   3.00   5.97
 44.5000    8.5000 -10.00  -3.00   5.63
 45.0000    8.5000 -10.00   3.00   5.97
 45.5000    8.5000 -10.00  -3.00   5.63
 46.0000    8.5000 -10.00   3.00   5.97
 46.5000    8.5000 -10.00  -3.00   5.63
